trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
mm_2.bz2,33,6,4,10,23936,9.988,0
mm_1.bz2,33,6,4,11,26112,2.216,1
mm_2.bz2,33,6,4,11,26112,9.988,0
mm_1.bz2,33,6,4,12,28288,2.216,1
mm_2.bz2,33,6,4,12,28288,9.988,0
mm_1.bz2,33,6,5,6,15232,2.360,1
mm_2.bz2,33,6,5,6,15232,10.278,0
mm_1.bz2,33,6,5,7,17408,2.145,1
mm_2.bz2,33,6,5,7,17408,10.270,0
mm_1.bz2,33,6,5,8,19584,2.109,1
mm_2.bz2,33,6,5,8,19584,10.270,0
mm_1.bz2,33,6,5,9,21760,2.098,1
mm_2.bz2,33,6,5,9,21760,10.270,0
mm_1.bz2,33,6,5,10,23936,2.098,1
mm_2.bz2,33,6,5,10,23936,10.270,0
mm_1.bz2,33,6,5,11,26112,2.098,1
mm_2.bz2,33,6,5,11,26112,10.270,0
mm_1.bz2,33,6,5,12,28288,2.098,1
mm_2.bz2,33,6,5,12,28288,10.270,0
mm_1.bz2,33,6,6,6,15232,3.378,0
mm_1.bz2,33,6,6,7,17408,2.284,1
mm_2.bz2,33,6,6,7,17408,10.975,0
mm_1.bz2,33,6,6,8,19584,2.211,1
mm_2.bz2,33,6,6,8,19584,10.967,0
mm_1.bz2,33,6,6,9,21760,2.192,1
mm_2.bz2,33,6,6,9,21760,10.967,0
mm_1.bz2,33,6,6,10,23936,2.192,1
mm_2.bz2,33,6,6,10,23936,10.967,0
mm_1.bz2,33,6,6,11,26112,2.192,1
mm_2.bz2,33,6,6,11,26112,10.967,0
mm_1.bz2,33,6,6,12,28288,2.192,1
mm_2.bz2,33,6,6,12,28288,10.967,0
mm_1.bz2,33,7,4,6,30464,2.232,1
mm_2.bz2,33,7,4,6,30464,8.398,1
fp_1.bz2,33,7,4,6,30464,0.835,1
fp_2.bz2,33,7,4,6,30464,1.060,1
int_1.bz2,33,7,4,6,30464,9.838,1
int_2.bz2,33,7,4,6,30464,0.342,1
mm_1.bz2,33,7,4,7,34816,2.152,1
mm_2.bz2,33,7,4,7,34816,8.402,1
fp_1.bz2,33,7,4,7,34816,0.835,1
fp_2.bz2,33,7,4,7,34816,1.060,1
int_1.bz2,33,7,4,7,34816,9.625,1
int_2.bz2,33,7,4,7,34816,0.342,1
mm_1.bz2,33,7,4,8,39168,2.134,1
mm_2.bz2,33,7,4,8,39168,8.402,1
fp_1.bz2,33,7,4,8,39168,0.835,1
fp_2.bz2,33,7,4,8,39168,1.060,1
int_1.bz2,33,7,4,8,39168,9.584,1
int_2.bz2,33,7,4,8,39168,0.342,1
mm_1.bz2,33,7,4,9,43520,2.134,1
mm_2.bz2,33,7,4,9,43520,8.402,1
fp_1.bz2,33,7,4,9,43520,0.835,1
fp_2.bz2,33,7,4,9,43520,1.060,1
int_1.bz2,33,7,4,9,43520,9.584,1
int_2.bz2,33,7,4,9,43520,0.342,1
mm_1.bz2,33,7,4,10,47872,2.134,1
mm_2.bz2,33,7,4,10,47872,8.402,1
fp_1.bz2,33,7,4,10,47872,0.835,1
fp_2.bz2,33,7,4,10,47872,1.060,1
int_1.bz2,33,7,4,10,47872,9.584,1
int_2.bz2,33,7,4,10,47872,0.342,1
mm_1.bz2,33,7,4,11,52224,2.134,1
mm_2.bz2,33,7,4,11,52224,8.402,1
fp_1.bz2,33,7,4,11,52224,0.835,1
fp_2.bz2,33,7,4,11,52224,1.060,1
int_1.bz2,33,7,4,11,52224,9.584,1
int_2.bz2,33,7,4,11,52224,0.342,1
mm_1.bz2,33,7,4,12,56576,2.134,1
mm_2.bz2,33,7,4,12,56576,8.402,1
fp_1.bz2,33,7,4,12,56576,0.835,1
fp_2.bz2,33,7,4,12,56576,1.060,1
int_1.bz2,33,7,4,12,56576,9.584,1
int_2.bz2,33,7,4,12,56576,0.342,1
mm_1.bz2,33,7,5,6,30464,2.274,1
mm_2.bz2,33,7,5,6,30464,8.535,0
mm_1.bz2,33,7,5,7,34816,2.097,1
mm_2.bz2,33,7,5,7,34816,8.531,0
mm_1.bz2,33,7,5,8,39168,2.056,1
mm_2.bz2,33,7,5,8,39168,8.531,0
mm_1.bz2,33,7,5,9,43520,2.051,1
mm_2.bz2,33,7,5,9,43520,8.531,0
mm_1.bz2,33,7,5,10,47872,2.051,1
mm_2.bz2,33,7,5,10,47872,8.531,0
mm_1.bz2,33,7,5,11,52224,2.051,1
mm_2.bz2,33,7,5,11,52224,8.531,0
mm_1.bz2,33,7,5,12,56576,2.051,1
mm_2.bz2,33,7,5,12,56576,8.531,0
mm_1.bz2,33,7,6,6,30464,2.864,0
mm_1.bz2,33,7,6,7,34816,2.132,1
mm_2.bz2,33,7,6,7,34816,9.044,0
mm_1.bz2,33,7,6,8,39168,2.044,1
mm_2.bz2,33,7,6,8,39168,9.045,0
mm_1.bz2,33,7,6,9,43520,2.042,1
mm_2.bz2,33,7,6,9,43520,9.045,0
mm_1.bz2,33,7,6,10,47872,2.042,1
mm_2.bz2,33,7,6,10,47872,9.045,0
mm_1.bz2,33,7,6,11,52224,2.042,1
mm_2.bz2,33,7,6,11,52224,9.045,0
mm_1.bz2,33,7,6,12,56576,2.042,1
mm_2.bz2,33,7,6,12,56576,9.045,0
mm_1.bz2,33,8,4,6,60928,2.226,1
mm_2.bz2,33,8,4,6,60928,7.082,1
fp_1.bz2,33,8,4,6,60928,0.826,1
fp_2.bz2,33,8,4,6,60928,1.059,1
int_1.bz2,33,8,4,6,60928,8.436,1
int_2.bz2,33,8,4,6,60928,0.318,1
mm_1.bz2,33,8,5,6,60928,2.203,1
mm_2.bz2,33,8,5,6,60928,7.170,1
fp_1.bz2,33,8,5,6,60928,0.829,1
fp_2.bz2,33,8,5,6,60928,0.972,1
int_1.bz2,33,8,5,6,60928,8.261,1
int_2.bz2,33,8,5,6,60928,0.320,1
mm_1.bz2,33,8,6,6,60928,2.770,0
mm_1.bz2,34,6,4,6,15680,2.228,1
mm_2.bz2,34,6,4,6,15680,9.985,0
mm_1.bz2,34,6,4,7,17920,2.160,1
mm_2.bz2,34,6,4,7,17920,9.985,0
mm_1.bz2,34,6,4,8,20160,2.131,1
mm_2.bz2,34,6,4,8,20160,9.985,0
mm_1.bz2,34,6,4,9,22400,2.131,1
mm_2.bz2,34,6,4,9,22400,9.985,0
mm_1.bz2,34,6,4,10,24640,2.131,1
mm_2.bz2,34,6,4,10,24640,9.985,0
mm_1.bz2,34,6,4,11,26880,2.131,1
mm_2.bz2,34,6,4,11,26880,9.985,0
mm_1.bz2,34,6,4,12,29120,2.131,1
mm_2.bz2,34,6,4,12,29120,9.985,0
mm_1.bz2,34,6,5,6,15680,2.275,1
mm_2.bz2,34,6,5,6,15680,10.242,0
mm_1.bz2,34,6,5,7,17920,2.127,1
mm_2.bz2,34,6,5,7,17920,10.244,0
mm_1.bz2,34,6,5,8,20160,2.089,1
mm_2.bz2,34,6,5,8,20160,10.244,0
mm_1.bz2,34,6,5,9,22400,2.080,1
mm_2.bz2,34,6,5,9,22400,10.244,0
mm_1.bz2,34,6,5,10,24640,2.080,1
mm_2.bz2,34,6,5,10,24640,10.244,0
mm_1.bz2,34,6,5,11,26880,2.080,1
mm_2.bz2,34,6,5,11,26880,10.244,0
mm_1.bz2,34,6,5,12,29120,2.080,1
mm_2.bz2,34,6,5,12,29120,10.244,0
mm_1.bz2,34,6,6,6,15680,3.381,0
mm_1.bz2,34,6,6,7,17920,2.217,1
mm_2.bz2,34,6,6,7,17920,10.934,0
mm_1.bz2,34,6,6,8,20160,2.096,1
mm_2.bz2,34,6,6,8,20160,10.932,0
mm_1.bz2,34,6,6,9,22400,2.078,1
mm_2.bz2,34,6,6,9,22400,10.932,0
mm_1.bz2,34,6,6,10,24640,2.078,1
mm_2.bz2,34,6,6,10,24640,10.932,0
mm_1.bz2,34,6,6,11,26880,2.078,1
mm_2.bz2,34,6,6,11,26880,10.932,0
mm_1.bz2,34,6,6,12,29120,2.078,1
mm_2.bz2,34,6,6,12,29120,10.932,0
mm_1.bz2,34,7,4,6,31360,2.170,1
mm_2.bz2,34,7,4,6,31360,8.396,1
fp_1.bz2,34,7,4,6,31360,0.834,1
fp_2.bz2,34,7,4,6,31360,1.061,1
int_1.bz2,34,7,4,6,31360,9.855,1
int_2.bz2,34,7,4,6,31360,0.346,1
mm_1.bz2,34,7,4,7,35840,2.104,1
mm_2.bz2,34,7,4,7,35840,8.396,1
fp_1.bz2,34,7,4,7,35840,0.834,1
fp_2.bz2,34,7,4,7,35840,1.061,1
int_1.bz2,34,7,4,7,35840,9.643,1
int_2.bz2,34,7,4,7,35840,0.346,1
mm_1.bz2,34,7,4,8,40320,2.082,1
mm_2.bz2,34,7,4,8,40320,8.396,1
fp_1.bz2,34,7,4,8,40320,0.834,1
fp_2.bz2,34,7,4,8,40320,1.061,1
int_1.bz2,34,7,4,8,40320,9.599,1
int_2.bz2,34,7,4,8,40320,0.346,1
mm_1.bz2,34,7,4,9,44800,2.082,1
mm_2.bz2,34,7,4,9,44800,8.396,1
fp_1.bz2,34,7,4,9,44800,0.834,1
fp_2.bz2,34,7,4,9,44800,1.061,1
int_1.bz2,34,7,4,9,44800,9.599,1
int_2.bz2,34,7,4,9,44800,0.346,1
mm_1.bz2,34,7,4,10,49280,2.082,1
mm_2.bz2,34,7,4,10,49280,8.396,1
fp_1.bz2,34,7,4,10,49280,0.834,1
fp_2.bz2,34,7,4,10,49280,1.061,1
int_1.bz2,34,7,4,10,49280,9.599,1
int_2.bz2,34,7,4,10,49280,0.346,1
mm_1.bz2,34,7,4,11,53760,2.082,1
mm_2.bz2,34,7,4,11,53760,8.396,1
fp_1.bz2,34,7,4,11,53760,0.834,1
fp_2.bz2,34,7,4,11,53760,1.061,1
int_1.bz2,34,7,4,11,53760,9.599,1
int_2.bz2,34,7,4,11,53760,0.346,1
mm_1.bz2,34,7,4,12,58240,2.082,1
mm_2.bz2,34,7,4,12,58240,8.396,1
fp_1.bz2,34,7,4,12,58240,0.834,1
fp_2.bz2,34,7,4,12,58240,1.061,1
int_1.bz2,34,7,4,12,58240,9.599,1
int_2.bz2,34,7,4,12,58240,0.346,1
mm_1.bz2,34,7,5,6,31360,2.194,1
mm_2.bz2,34,7,5,6,31360,8.531,0
mm_1.bz2,34,7,5,7,35840,2.091,1
mm_2.bz2,34,7,5,7,35840,8.521,0
mm_1.bz2,34,7,5,8,40320,2.027,1
mm_2.bz2,34,7,5,8,40320,8.521,0
mm_1.bz2,34,7,5,9,44800,2.023,1
mm_2.bz2,34,7,5,9,44800,8.521,0
mm_1.bz2,34,7,5,10,49280,2.023,1
mm_2.bz2,34,7,5,10,49280,8.521,0
mm_1.bz2,34,7,5,11,53760,2.023,1
mm_2.bz2,34,7,5,11,53760,8.521,0
mm_1.bz2,34,7,5,12,58240,2.023,1
mm_2.bz2,34,7,5,12,58240,8.521,0
mm_1.bz2,34,7,6,6,31360,2.917,0
mm_1.bz2,34,7,6,7,35840,2.059,1
mm_2.bz2,34,7,6,7,35840,9.022,0
mm_1.bz2,34,7,6,8,40320,1.986,1
mm_2.bz2,34,7,6,8,40320,9.020,0
mm_1.bz2,34,7,6,9,44800,1.981,1
mm_2.bz2,34,7,6,9,44800,9.020,0
mm_1.bz2,34,7,6,10,49280,1.981,1
mm_2.bz2,34,7,6,10,49280,9.020,0
mm_1.bz2,34,7,6,11,53760,1.981,1
mm_2.bz2,34,7,6,11,53760,9.020,0
mm_1.bz2,34,7,6,12,58240,1.981,1
mm_2.bz2,34,7,6,12,58240,9.020,0
mm_1.bz2,34,8,4,6,62720,2.145,1
mm_2.bz2,34,8,4,6,62720,7.079,1
fp_1.bz2,34,8,4,6,62720,0.826,1
fp_2.bz2,34,8,4,6,62720,1.060,1
int_1.bz2,34,8,4,6,62720,8.455,1
int_2.bz2,34,8,4,6,62720,0.317,1
mm_1.bz2,34,8,5,6,62720,2.133,1
mm_2.bz2,34,8,5,6,62720,7.156,1
fp_1.bz2,34,8,5,6,62720,0.828,1
fp_2.bz2,34,8,5,6,62720,0.972,1
int_1.bz2,34,8,5,6,62720,8.257,1
int_2.bz2,34,8,5,6,62720,0.320,1
mm_1.bz2,34,8,6,6,62720,2.805,0
mm_1.bz2,35,6,4,6,16128,2.081,1
mm_2.bz2,35,6,4,6,16128,9.991,0
mm_1.bz2,35,6,4,7,18432,1.984,1
mm_2.bz2,35,6,4,7,18432,9.990,0
mm_1.bz2,35,6,4,8,20736,1.992,1
mm_2.bz2,35,6,4,8,20736,9.990,0
mm_1.bz2,35,6,4,9,23040,1.992,1
mm_2.bz2,35,6,4,9,23040,9.990,0
mm_1.bz2,35,6,4,10,25344,1.992,1
mm_2.bz2,35,6,4,10,25344,9.990,0
mm_1.bz2,35,6,4,11,27648,1.992,1
mm_2.bz2,35,6,4,11,27648,9.990,0
mm_1.bz2,35,6,4,12,29952,1.992,1
mm_2.bz2,35,6,4,12,29952,9.990,0
mm_1.bz2,35,6,5,6,16128,2.284,1
mm_2.bz2,35,6,5,6,16128,10.236,0
mm_1.bz2,35,6,5,7,18432,1.929,1
mm_2.bz2,35,6,5,7,18432,10.237,0
mm_1.bz2,35,6,5,8,20736,1.917,1
mm_2.bz2,35,6,5,8,20736,10.237,0
mm_1.bz2,35,6,5,9,23040,1.914,1
mm_2.bz2,35,6,5,9,23040,10.237,0
mm_1.bz2,35,6,5,10,25344,1.914,1
mm_2.bz2,35,6,5,10,25344,10.237,0
mm_1.bz2,35,6,5,11,27648,1.914,1
mm_2.bz2,35,6,5,11,27648,10.237,0
mm_1.bz2,35,6,5,12,29952,1.914,1
mm_2.bz2,35,6,5,12,29952,10.237,0
mm_1.bz2,35,6,6,6,16128,3.481,0
mm_1.bz2,35,6,6,7,18432,2.133,1
mm_2.bz2,35,6,6,7,18432,10.907,0
mm_1.bz2,35,6,6,8,20736,1.954,1
mm_2.bz2,35,6,6,8,20736,10.900,0
mm_1.bz2,35,6,6,9,23040,1.948,1
mm_2.bz2,35,6,6,9,23040,10.900,0
mm_1.bz2,35,6,6,10,25344,1.948,1
mm_2.bz2,35,6,6,10,25344,10.900,0
mm_1.bz2,35,6,6,11,27648,1.948,1
mm_2.bz2,35,6,6,11,27648,10.900,0
mm_1.bz2,35,6,6,12,29952,1.948,1
mm_2.bz2,35,6,6,12,29952,10.900,0
mm_1.bz2,35,7,4,6,32256,1.997,1
