ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate
16,6,16,12,14144,17.05583333333333333333
16,8,4,4,21760,4.74600000000000000000
16,8,4,6,30464,3.94566666666666666666
16,8,4,8,39168,3.93250000000000000000
16,8,4,10,47872,3.93250000000000000000
16,8,4,12,56576,3.93250000000000000000
16,8,6,4,21760,7.51316666666666666666
16,8,6,6,30464,4.66166666666666666666
16,8,6,8,39168,4.10033333333333333333
16,8,6,10,47872,4.09866666666666666666
16,8,6,12,56576,4.09866666666666666666
16,8,8,4,21760,12.31233333333333333333
16,8,8,6,30464,7.63633333333333333333
16,8,8,8,39168,5.08966666666666666666
16,8,8,10,47872,4.67166666666666666666
16,8,8,12,56576,4.67166666666666666666
16,8,10,4,21760,13.07016666666666666666
16,8,10,6,30464,12.58666666666666666666
16,8,10,8,39168,8.23650000000000000000
16,8,10,10,47872,6.00450000000000000000
16,8,10,12,56576,5.70750000000000000000
16,8,12,4,21760,13.12966666666666666666
16,8,12,6,30464,12.92850000000000000000
16,8,12,8,39168,12.65300000000000000000
16,8,12,10,47872,9.17516666666666666666
16,8,12,12,56576,7.59483333333333333333
16,8,14,4,21760,13.12966666666666666666
16,8,14,6,30464,12.93116666666666666666
16,8,14,8,39168,12.75933333333333333333
16,8,14,10,47872,12.50816666666666666666
16,8,14,12,56576,10.19400000000000000000
16,8,16,4,21760,13.12966666666666666666
16,8,16,6,30464,12.93116666666666666666
16,8,16,8,39168,12.75933333333333333333
16,8,16,10,47872,12.51400000000000000000
16,8,16,12,56576,12.39233333333333333333
18,4,4,4,1520,9.59550000000000000000
18,4,4,6,2128,8.27433333333333333333
18,4,4,8,2736,8.13083333333333333333
18,4,4,10,3344,8.13083333333333333333
18,4,4,12,3952,8.13083333333333333333
18,4,6,4,1520,14.02083333333333333333
18,4,6,6,2128,9.30433333333333333333
18,4,6,8,2736,8.42716666666666666666
18,4,6,10,3344,8.33916666666666666666
18,4,6,12,3952,8.33916666666666666666
18,4,8,4,1520,21.32066666666666666666
18,4,8,6,2128,14.02066666666666666666
18,4,8,8,2736,9.84100000000000000000
18,4,8,10,3344,9.24100000000000000000
18,4,8,12,3952,9.23366666666666666666
18,4,10,4,1520,22.31650000000000000000
18,4,10,6,2128,21.70116666666666666666
18,4,10,8,2736,14.40800000000000000000
18,4,10,10,3344,10.71983333333333333333
18,4,10,12,3952,10.26250000000000000000
