trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate
int_1.bz2,16,4,16,4,1360,34.073
int_2.bz2,16,4,16,4,1360,1.788
mm_1.bz2,16,4,16,4,1360,32.483
mm_2.bz2,16,4,16,4,1360,34.601
fp_1.bz2,16,4,16,6,1904,2.546
fp_2.bz2,16,4,16,6,1904,31.846
int_1.bz2,16,4,16,6,1904,34.034
int_2.bz2,16,4,16,6,1904,1.775
mm_1.bz2,16,4,16,6,1904,32.414
mm_2.bz2,16,4,16,6,1904,34.449
fp_1.bz2,16,4,16,8,2448,2.546
fp_2.bz2,16,4,16,8,2448,31.828
int_1.bz2,16,4,16,8,2448,33.951
int_2.bz2,16,4,16,8,2448,1.729
mm_1.bz2,16,4,16,8,2448,32.142
mm_2.bz2,16,4,16,8,2448,34.273
fp_1.bz2,16,4,16,10,2992,2.546
fp_2.bz2,16,4,16,10,2992,31.758
int_1.bz2,16,4,16,10,2992,33.664
int_2.bz2,16,4,16,10,2992,1.725
mm_1.bz2,16,4,16,10,2992,31.200
mm_2.bz2,16,4,16,10,2992,34.226
fp_1.bz2,16,4,16,12,3536,2.546
fp_2.bz2,16,4,16,12,3536,31.479
int_1.bz2,16,4,16,12,3536,33.893
int_2.bz2,16,4,16,12,3536,1.764
mm_1.bz2,16,4,16,12,3536,28.474
mm_2.bz2,16,4,16,12,3536,34.011
fp_1.bz2,16,6,4,4,5440,1.017
fp_2.bz2,16,6,4,4,5440,2.284
int_1.bz2,16,6,4,4,5440,15.437
int_2.bz2,16,6,4,4,5440,0.456
mm_1.bz2,16,6,4,4,5440,6.867
mm_2.bz2,16,6,4,4,5440,10.783
fp_1.bz2,16,6,4,6,7616,0.843
fp_2.bz2,16,6,4,6,7616,1.018
int_1.bz2,16,6,4,6,7616,13.443
int_2.bz2,16,6,4,6,7616,0.390
mm_1.bz2,16,6,4,6,7616,4.448
mm_2.bz2,16,6,4,6,7616,10.430
fp_1.bz2,16,6,4,8,9792,0.843
fp_2.bz2,16,6,4,8,9792,0.984
int_1.bz2,16,6,4,8,9792,13.406
int_2.bz2,16,6,4,8,9792,0.389
mm_1.bz2,16,6,4,8,9792,4.097
mm_2.bz2,16,6,4,8,9792,10.431
fp_1.bz2,16,6,4,10,11968,0.843
fp_2.bz2,16,6,4,10,11968,0.984
int_1.bz2,16,6,4,10,11968,13.406
int_2.bz2,16,6,4,10,11968,0.389
mm_1.bz2,16,6,4,10,11968,4.097
mm_2.bz2,16,6,4,10,11968,10.431
fp_1.bz2,16,6,4,12,14144,0.843
fp_2.bz2,16,6,4,12,14144,0.984
int_1.bz2,16,6,4,12,14144,13.406
int_2.bz2,16,6,4,12,14144,0.389
mm_1.bz2,16,6,4,12,14144,4.097
mm_2.bz2,16,6,4,12,14144,10.431
fp_1.bz2,16,6,6,4,5440,1.712
fp_2.bz2,16,6,6,4,5440,9.275
int_1.bz2,16,6,6,4,5440,19.970
int_2.bz2,16,6,6,4,5440,0.780
mm_1.bz2,16,6,6,4,5440,12.951
mm_2.bz2,16,6,6,4,5440,15.480
fp_1.bz2,16,6,6,6,7616,0.971
fp_2.bz2,16,6,6,6,7616,2.111
int_1.bz2,16,6,6,6,7616,14.336
int_2.bz2,16,6,6,6,7616,0.487
mm_1.bz2,16,6,6,6,7616,6.228
mm_2.bz2,16,6,6,6,7616,12.438
fp_1.bz2,16,6,6,8,9792,0.875
fp_2.bz2,16,6,6,8,9792,1.045
int_1.bz2,16,6,6,8,9792,12.924
int_2.bz2,16,6,6,8,9792,0.467
mm_1.bz2,16,6,6,8,9792,4.389
mm_2.bz2,16,6,6,8,9792,12.318
fp_1.bz2,16,6,6,10,11968,0.875
fp_2.bz2,16,6,6,10,11968,1.037
int_1.bz2,16,6,6,10,11968,12.923
int_2.bz2,16,6,6,10,11968,0.467
mm_1.bz2,16,6,6,10,11968,4.345
mm_2.bz2,16,6,6,10,11968,12.318
fp_1.bz2,16,6,6,12,14144,0.875
fp_2.bz2,16,6,6,12,14144,1.037
int_1.bz2,16,6,6,12,14144,12.923
int_2.bz2,16,6,6,12,14144,0.467
mm_1.bz2,16,6,6,12,14144,4.345
mm_2.bz2,16,6,6,12,14144,12.318
fp_1.bz2,16,6,8,4,5440,1.863
fp_2.bz2,16,6,8,4,5440,21.642
int_1.bz2,16,6,8,4,5440,26.936
int_2.bz2,16,6,8,4,5440,1.148
mm_1.bz2,16,6,8,4,5440,23.446
mm_2.bz2,16,6,8,4,5440,22.443
fp_1.bz2,16,6,8,6,7616,1.779
fp_2.bz2,16,6,8,6,7616,8.371
int_1.bz2,16,6,8,6,7616,19.637
int_2.bz2,16,6,8,6,7616,0.799
mm_1.bz2,16,6,8,6,7616,12.684
mm_2.bz2,16,6,8,6,7616,18.063
fp_1.bz2,16,6,8,8,9792,1.027
fp_2.bz2,16,6,8,8,9792,2.161
int_1.bz2,16,6,8,8,9792,14.511
int_2.bz2,16,6,8,8,9792,0.645
mm_1.bz2,16,6,8,8,9792,6.269
mm_2.bz2,16,6,8,8,9792,14.993
fp_1.bz2,16,6,8,10,11968,0.982
fp_2.bz2,16,6,8,10,11968,1.192
int_1.bz2,16,6,8,10,11968,13.440
int_2.bz2,16,6,8,10,11968,0.641
