trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate
fp_1.bz2,18,8,12,4,24320,1.422
fp_2.bz2,18,8,12,4,24320,20.163
int_1.bz2,18,8,12,4,24320,19.849
int_2.bz2,18,8,12,4,24320,0.807
mm_1.bz2,18,8,12,4,24320,13.588
mm_2.bz2,18,8,12,4,24320,22.895
fp_1.bz2,18,8,12,6,34048,1.338
fp_2.bz2,18,8,12,6,34048,20.163
int_1.bz2,18,8,12,6,34048,19.662
int_2.bz2,18,8,12,6,34048,0.797
mm_1.bz2,18,8,12,6,34048,13.279
mm_2.bz2,18,8,12,6,34048,22.280
fp_1.bz2,18,8,12,8,43776,1.338
fp_2.bz2,18,8,12,8,43776,20.163
int_1.bz2,18,8,12,8,43776,19.298
int_2.bz2,18,8,12,8,43776,0.785
mm_1.bz2,18,8,12,8,43776,12.686
mm_2.bz2,18,8,12,8,43776,21.609
fp_1.bz2,18,8,12,10,53504,1.338
fp_2.bz2,18,8,12,10,53504,6.981
int_1.bz2,18,8,12,10,53504,15.907
int_2.bz2,18,8,12,10,53504,0.728
mm_1.bz2,18,8,12,10,53504,8.379
mm_2.bz2,18,8,12,10,53504,19.618
fp_1.bz2,18,8,12,12,63232,1.337
fp_2.bz2,18,8,12,12,63232,2.972
int_1.bz2,18,8,12,12,63232,13.898
int_2.bz2,18,8,12,12,63232,0.723
mm_1.bz2,18,8,12,12,63232,6.875
mm_2.bz2,18,8,12,12,63232,19.098
fp_1.bz2,18,8,14,4,24320,1.422
fp_2.bz2,18,8,14,4,24320,20.163
int_1.bz2,18,8,14,4,24320,19.849
int_2.bz2,18,8,14,4,24320,0.807
mm_1.bz2,18,8,14,4,24320,13.588
mm_2.bz2,18,8,14,4,24320,22.895
fp_1.bz2,18,8,14,6,34048,1.338
fp_2.bz2,18,8,14,6,34048,20.163
int_1.bz2,18,8,14,6,34048,19.662
int_2.bz2,18,8,14,6,34048,0.797
mm_1.bz2,18,8,14,6,34048,13.279
mm_2.bz2,18,8,14,6,34048,22.310
fp_1.bz2,18,8,14,8,43776,1.338
fp_2.bz2,18,8,14,8,43776,20.163
int_1.bz2,18,8,14,8,43776,19.298
int_2.bz2,18,8,14,8,43776,0.786
mm_1.bz2,18,8,14,8,43776,12.686
mm_2.bz2,18,8,14,8,43776,22.324
fp_1.bz2,18,8,14,10,53504,1.338
fp_2.bz2,18,8,14,10,53504,20.163
int_1.bz2,18,8,14,10,53504,18.817
int_2.bz2,18,8,14,10,53504,0.786
mm_1.bz2,18,8,14,10,53504,11.761
mm_2.bz2,18,8,14,10,53504,22.293
fp_1.bz2,18,8,14,12,63232,1.338
fp_2.bz2,18,8,14,12,63232,7.086
int_1.bz2,18,8,14,12,63232,17.393
int_2.bz2,18,8,14,12,63232,0.774
mm_1.bz2,18,8,14,12,63232,10.266
mm_2.bz2,18,8,14,12,63232,21.973
fp_1.bz2,18,8,16,4,24320,1.422
fp_2.bz2,18,8,16,4,24320,20.163
int_1.bz2,18,8,16,4,24320,19.849
int_2.bz2,18,8,16,4,24320,0.807
mm_1.bz2,18,8,16,4,24320,13.588
mm_2.bz2,18,8,16,4,24320,22.895
fp_1.bz2,18,8,16,6,34048,1.338
fp_2.bz2,18,8,16,6,34048,20.163
int_1.bz2,18,8,16,6,34048,19.662
int_2.bz2,18,8,16,6,34048,0.797
mm_1.bz2,18,8,16,6,34048,13.279
mm_2.bz2,18,8,16,6,34048,22.310
fp_1.bz2,18,8,16,8,43776,1.338
fp_2.bz2,18,8,16,8,43776,20.163
int_1.bz2,18,8,16,8,43776,19.298
int_2.bz2,18,8,16,8,43776,0.786
mm_1.bz2,18,8,16,8,43776,12.686
mm_2.bz2,18,8,16,8,43776,22.324
fp_1.bz2,18,8,16,10,53504,1.338
fp_2.bz2,18,8,16,10,53504,20.163
int_1.bz2,18,8,16,10,53504,18.817
int_2.bz2,18,8,16,10,53504,0.786
mm_1.bz2,18,8,16,10,53504,11.761
mm_2.bz2,18,8,16,10,53504,22.340
fp_1.bz2,18,8,16,12,63232,1.338
fp_2.bz2,18,8,16,12,63232,20.163
int_1.bz2,18,8,16,12,63232,18.619
int_2.bz2,18,8,16,12,63232,0.786
mm_1.bz2,18,8,16,12,63232,11.155
mm_2.bz2,18,8,16,12,63232,22.509
fp_1.bz2,20,4,4,4,1680,1.357
fp_2.bz2,20,4,4,4,1680,3.860
int_1.bz2,20,4,4,4,1680,22.590
int_2.bz2,20,4,4,4,1680,0.732
mm_1.bz2,20,4,4,4,1680,13.079
mm_2.bz2,20,4,4,4,1680,14.809
fp_1.bz2,20,4,4,6,2352,0.966
fp_2.bz2,20,4,4,6,2352,1.129
int_1.bz2,20,4,4,6,2352,21.032
int_2.bz2,20,4,4,6,2352,0.577
mm_1.bz2,20,4,4,6,2352,9.842
mm_2.bz2,20,4,4,6,2352,14.220
fp_1.bz2,20,4,4,8,3024,0.966
fp_2.bz2,20,4,4,8,3024,1.003
int_1.bz2,20,4,4,8,3024,21.026
int_2.bz2,20,4,4,8,3024,0.575
mm_1.bz2,20,4,4,8,3024,9.671
mm_2.bz2,20,4,4,8,3024,14.220
fp_1.bz2,20,4,4,10,3696,0.966
fp_2.bz2,20,4,4,10,3696,1.003
int_1.bz2,20,4,4,10,3696,21.026
int_2.bz2,20,4,4,10,3696,0.575
mm_1.bz2,20,4,4,10,3696,9.671
mm_2.bz2,20,4,4,10,3696,14.220
fp_1.bz2,20,4,4,12,4368,0.966
fp_2.bz2,20,4,4,12,4368,1.003
int_1.bz2,20,4,4,12,4368,21.026
int_2.bz2,20,4,4,12,4368,0.575
mm_1.bz2,20,4,4,12,4368,9.671
mm_2.bz2,20,4,4,12,4368,14.220
fp_1.bz2,20,4,6,4,1680,2.385
fp_2.bz2,20,4,6,4,1680,11.728
int_1.bz2,20,4,6,4,1680,26.482
int_2.bz2,20,4,6,4,1680,1.181
mm_1.bz2,20,4,6,4,1680,19.564
mm_2.bz2,20,4,6,4,1680,19.025
fp_1.bz2,20,4,6,6,2352,1.181
fp_2.bz2,20,4,6,6,2352,2.911
int_1.bz2,20,4,6,6,2352,21.550
int_2.bz2,20,4,6,6,2352,0.743
mm_1.bz2,20,4,6,6,2352,11.460
mm_2.bz2,20,4,6,6,2352,15.894
fp_1.bz2,20,4,6,8,3024,0.988
fp_2.bz2,20,4,6,8,3024,1.135
int_1.bz2,20,4,6,8,3024,20.191
int_2.bz2,20,4,6,8,3024,0.655
mm_1.bz2,20,4,6,8,3024,9.469
mm_2.bz2,20,4,6,8,3024,15.868
fp_1.bz2,20,4,6,10,3696,0.988
fp_2.bz2,20,4,6,10,3696,1.075
int_1.bz2,20,4,6,10,3696,20.191
int_2.bz2,20,4,6,10,3696,0.655
mm_1.bz2,20,4,6,10,3696,9.411
mm_2.bz2,20,4,6,10,3696,15.868
fp_1.bz2,20,4,6,12,4368,0.988
fp_2.bz2,20,4,6,12,4368,1.075
int_1.bz2,20,4,6,12,4368,20.191
int_2.bz2,20,4,6,12,4368,0.655
mm_1.bz2,20,4,6,12,4368,9.411
mm_2.bz2,20,4,6,12,4368,15.868
fp_1.bz2,20,4,8,4,1680,2.494
fp_2.bz2,20,4,8,4,1680,31.842
int_1.bz2,20,4,8,4,1680,33.930
int_2.bz2,20,4,8,4,1680,1.697
mm_1.bz2,20,4,8,4,1680,32.476
mm_2.bz2,20,4,8,4,1680,25.106
fp_1.bz2,20,4,8,6,2352,2.317
fp_2.bz2,20,4,8,6,2352,10.604
int_1.bz2,20,4,8,6,2352,25.796
int_2.bz2,20,4,8,6,2352,1.192
mm_1.bz2,20,4,8,6,2352,19.562
mm_2.bz2,20,4,8,6,2352,21.058
fp_1.bz2,20,4,8,8,3024,1.310
fp_2.bz2,20,4,8,8,3024,2.759
int_1.bz2,20,4,8,8,3024,21.623
int_2.bz2,20,4,8,8,3024,0.862
mm_1.bz2,20,4,8,8,3024,11.349
mm_2.bz2,20,4,8,8,3024,19.127
fp_1.bz2,20,4,8,10,3696,1.132
fp_2.bz2,20,4,8,10,3696,1.432
int_1.bz2,20,4,8,10,3696,20.558
int_2.bz2,20,4,8,10,3696,0.848
mm_1.bz2,20,4,8,10,3696,9.917
mm_2.bz2,20,4,8,10,3696,19.170
fp_1.bz2,20,4,8,12,4368,1.132
fp_2.bz2,20,4,8,12,4368,1.374
int_1.bz2,20,4,8,12,4368,20.558
int_2.bz2,20,4,8,12,4368,0.848
mm_1.bz2,20,4,8,12,4368,9.917
mm_2.bz2,20,4,8,12,4368,19.170
fp_1.bz2,20,4,10,4,1680,2.546
fp_2.bz2,20,4,10,4,1680,31.851
int_1.bz2,20,4,10,4,1680,34.073
int_2.bz2,20,4,10,4,1680,1.762
mm_1.bz2,20,4,10,4,1680,32.484
mm_2.bz2,20,4,10,4,1680,31.035
fp_1.bz2,20,4,10,6,2352,2.516
fp_2.bz2,20,4,10,6,2352,31.838
int_1.bz2,20,4,10,6,2352,34.029
int_2.bz2,20,4,10,6,2352,1.710
mm_1.bz2,20,4,10,6,2352,32.400
mm_2.bz2,20,4,10,6,2352,27.354
fp_1.bz2,20,4,10,8,3024,2.381
fp_2.bz2,20,4,10,8,3024,10.163
int_1.bz2,20,4,10,8,3024,25.757
int_2.bz2,20,4,10,8,3024,1.255
mm_1.bz2,20,4,10,8,3024,19.482
mm_2.bz2,20,4,10,8,3024,24.124
fp_1.bz2,20,4,10,10,3696,1.738
fp_2.bz2,20,4,10,10,3696,3.048
int_1.bz2,20,4,10,10,3696,21.893
int_2.bz2,20,4,10,10,3696,1.103
mm_1.bz2,20,4,10,10,3696,12.043
mm_2.bz2,20,4,10,10,3696,22.134
fp_1.bz2,20,4,10,12,4368,1.667
fp_2.bz2,20,4,10,12,4368,2.171
int_1.bz2,20,4,10,12,4368,21.195
int_2.bz2,20,4,10,12,4368,1.092
mm_1.bz2,20,4,10,12,4368,11.051
mm_2.bz2,20,4,10,12,4368,22.117
fp_1.bz2,20,4,12,4,1680,2.546
fp_2.bz2,20,4,12,4,1680,31.851
int_1.bz2,20,4,12,4,1680,34.073
int_2.bz2,20,4,12,4,1680,1.785
mm_1.bz2,20,4,12,4,1680,32.484
mm_2.bz2,20,4,12,4,1680,34.353
fp_1.bz2,20,4,12,6,2352,2.546
fp_2.bz2,20,4,12,6,2352,31.844
int_1.bz2,20,4,12,6,2352,34.032
int_2.bz2,20,4,12,6,2352,1.770
mm_1.bz2,20,4,12,6,2352,32.405
mm_2.bz2,20,4,12,6,2352,33.540
fp_1.bz2,20,4,12,8,3024,2.523
fp_2.bz2,20,4,12,8,3024,31.816
int_1.bz2,20,4,12,8,3024,33.929
int_2.bz2,20,4,12,8,3024,1.716
mm_1.bz2,20,4,12,8,3024,32.086
mm_2.bz2,20,4,12,8,3024,29.733
fp_1.bz2,20,4,12,10,3696,2.470
fp_2.bz2,20,4,12,10,3696,9.960
int_1.bz2,20,4,12,10,3696,26.495
int_2.bz2,20,4,12,10,3696,1.402
mm_1.bz2,20,4,12,10,3696,19.491
mm_2.bz2,20,4,12,10,3696,27.065
fp_1.bz2,20,4,12,12,4368,2.429
fp_2.bz2,20,4,12,12,4368,4.489
int_1.bz2,20,4,12,12,4368,23.051
int_2.bz2,20,4,12,12,4368,1.331
mm_1.bz2,20,4,12,12,4368,13.916
mm_2.bz2,20,4,12,12,4368,25.445
fp_1.bz2,20,4,14,4,1680,2.546
fp_2.bz2,20,4,14,4,1680,31.851
int_1.bz2,20,4,14,4,1680,34.073
int_2.bz2,20,4,14,4,1680,1.785
mm_1.bz2,20,4,14,4,1680,32.484
mm_2.bz2,20,4,14,4,1680,34.569
fp_1.bz2,20,4,14,6,2352,2.546
fp_2.bz2,20,4,14,6,2352,31.844
int_1.bz2,20,4,14,6,2352,34.032
int_2.bz2,20,4,14,6,2352,1.770
mm_1.bz2,20,4,14,6,2352,32.405
mm_2.bz2,20,4,14,6,2352,34.421
fp_1.bz2,20,4,14,8,3024,2.546
fp_2.bz2,20,4,14,8,3024,31.816
int_1.bz2,20,4,14,8,3024,33.929
int_2.bz2,20,4,14,8,3024,1.728
mm_1.bz2,20,4,14,8,3024,32.086
mm_2.bz2,20,4,14,8,3024,34.230
fp_1.bz2,20,4,14,10,3696,2.546
fp_2.bz2,20,4,14,10,3696,31.709
int_1.bz2,20,4,14,10,3696,33.515
int_2.bz2,20,4,14,10,3696,1.725
mm_1.bz2,20,4,14,10,3696,30.904
mm_2.bz2,20,4,14,10,3696,32.225
fp_1.bz2,20,4,14,12,4368,2.546
fp_2.bz2,20,4,14,12,4368,10.263
int_1.bz2,20,4,14,12,4368,29.152
int_2.bz2,20,4,14,12,4368,1.558
mm_1.bz2,20,4,14,12,4368,20.345
mm_2.bz2,20,4,14,12,4368,30.885
fp_1.bz2,20,4,16,4,1680,2.546
fp_2.bz2,20,4,16,4,1680,31.851
int_1.bz2,20,4,16,4,1680,34.073
int_2.bz2,20,4,16,4,1680,1.785
mm_1.bz2,20,4,16,4,1680,32.484
mm_2.bz2,20,4,16,4,1680,34.569
fp_1.bz2,20,4,16,6,2352,2.546
fp_2.bz2,20,4,16,6,2352,31.844
int_1.bz2,20,4,16,6,2352,34.032
int_2.bz2,20,4,16,6,2352,1.770
mm_1.bz2,20,4,16,6,2352,32.405
mm_2.bz2,20,4,16,6,2352,34.421
fp_1.bz2,20,4,16,8,3024,2.546
fp_2.bz2,20,4,16,8,3024,31.816
int_1.bz2,20,4,16,8,3024,33.929
int_2.bz2,20,4,16,8,3024,1.728
mm_1.bz2,20,4,16,8,3024,32.086
mm_2.bz2,20,4,16,8,3024,34.230
fp_1.bz2,20,4,16,10,3696,2.546
fp_2.bz2,20,4,16,10,3696,31.709
int_1.bz2,20,4,16,10,3696,33.515
int_2.bz2,20,4,16,10,3696,1.725
mm_1.bz2,20,4,16,10,3696,30.904
mm_2.bz2,20,4,16,10,3696,34.109
fp_1.bz2,20,4,16,12,4368,2.546
fp_2.bz2,20,4,16,12,4368,31.277
int_1.bz2,20,4,16,12,4368,33.523
int_2.bz2,20,4,16,12,4368,1.758
mm_1.bz2,20,4,16,12,4368,26.470
mm_2.bz2,20,4,16,12,4368,33.898
fp_1.bz2,20,6,4,4,6720,1.087
fp_2.bz2,20,6,4,4,6720,2.033
int_1.bz2,20,6,4,4,6720,15.130
int_2.bz2,20,6,4,4,6720,0.403
mm_1.bz2,20,6,4,4,6720,6.512
mm_2.bz2,20,6,4,4,6720,10.485
fp_1.bz2,20,6,4,6,9408,0.839
fp_2.bz2,20,6,4,6,9408,0.972
int_1.bz2,20,6,4,6,9408,12.296
int_2.bz2,20,6,4,6,9408,0.368
mm_1.bz2,20,6,4,6,9408,3.862
mm_2.bz2,20,6,4,6,9408,10.180
fp_1.bz2,20,6,4,8,12096,0.839
fp_2.bz2,20,6,4,8,12096,0.971
int_1.bz2,20,6,4,8,12096,12.234
int_2.bz2,20,6,4,8,12096,0.361
mm_1.bz2,20,6,4,8,12096,3.450
mm_2.bz2,20,6,4,8,12096,10.181
fp_1.bz2,20,6,4,10,14784,0.839
fp_2.bz2,20,6,4,10,14784,0.971
int_1.bz2,20,6,4,10,14784,12.234
int_2.bz2,20,6,4,10,14784,0.361
mm_1.bz2,20,6,4,10,14784,3.450
mm_2.bz2,20,6,4,10,14784,10.181
fp_1.bz2,20,6,4,12,17472,0.839
fp_2.bz2,20,6,4,12,17472,0.971
int_1.bz2,20,6,4,12,17472,12.234
int_2.bz2,20,6,4,12,17472,0.361
mm_1.bz2,20,6,4,12,17472,3.450
mm_2.bz2,20,6,4,12,17472,10.181
fp_1.bz2,20,6,6,4,6720,1.664
fp_2.bz2,20,6,6,4,6720,5.806
int_1.bz2,20,6,6,4,6720,19.108
int_2.bz2,20,6,6,4,6720,0.714
mm_1.bz2,20,6,6,4,6720,11.638
mm_2.bz2,20,6,6,4,6720,14.572
fp_1.bz2,20,6,6,6,9408,0.966
fp_2.bz2,20,6,6,6,9408,1.546
int_1.bz2,20,6,6,6,9408,13.473
int_2.bz2,20,6,6,6,9408,0.439
mm_1.bz2,20,6,6,6,9408,5.436
mm_2.bz2,20,6,6,6,9408,11.936
fp_1.bz2,20,6,6,8,12096,0.860
fp_2.bz2,20,6,6,8,12096,1.001
int_1.bz2,20,6,6,8,12096,11.728
int_2.bz2,20,6,6,8,12096,0.422
mm_1.bz2,20,6,6,8,12096,3.782
mm_2.bz2,20,6,6,8,12096,11.804
fp_1.bz2,20,6,6,10,14784,0.860
fp_2.bz2,20,6,6,10,14784,1.001
int_1.bz2,20,6,6,10,14784,11.719
int_2.bz2,20,6,6,10,14784,0.422
mm_1.bz2,20,6,6,10,14784,3.631
mm_2.bz2,20,6,6,10,14784,11.804
fp_1.bz2,20,6,6,12,17472,0.860
fp_2.bz2,20,6,6,12,17472,1.001
int_1.bz2,20,6,6,12,17472,11.719
int_2.bz2,20,6,6,12,17472,0.422
mm_1.bz2,20,6,6,12,17472,3.631
mm_2.bz2,20,6,6,12,17472,11.804
fp_1.bz2,20,6,8,4,6720,1.863
fp_2.bz2,20,6,8,4,6720,21.642
int_1.bz2,20,6,8,4,6720,26.754
int_2.bz2,20,6,8,4,6720,1.121
mm_1.bz2,20,6,8,4,6720,23.427
mm_2.bz2,20,6,8,4,6720,21.584
fp_1.bz2,20,6,8,6,9408,1.635
fp_2.bz2,20,6,8,6,9408,5.120
int_1.bz2,20,6,8,6,9408,18.611
int_2.bz2,20,6,8,6,9408,0.735
mm_1.bz2,20,6,8,6,9408,10.997
mm_2.bz2,20,6,8,6,9408,17.010
fp_1.bz2,20,6,8,8,12096,0.978
fp_2.bz2,20,6,8,8,12096,1.642
int_1.bz2,20,6,8,8,12096,13.332
int_2.bz2,20,6,8,8,12096,0.606
mm_1.bz2,20,6,8,8,12096,5.655
mm_2.bz2,20,6,8,8,12096,14.420
fp_1.bz2,20,6,8,10,14784,0.928
fp_2.bz2,20,6,8,10,14784,1.120
int_1.bz2,20,6,8,10,14784,12.277
int_2.bz2,20,6,8,10,14784,0.606
mm_1.bz2,20,6,8,10,14784,4.289
mm_2.bz2,20,6,8,10,14784,14.313
fp_1.bz2,20,6,8,12,17472,0.928
fp_2.bz2,20,6,8,12,17472,1.120
int_1.bz2,20,6,8,12,17472,12.277
int_2.bz2,20,6,8,12,17472,0.606
mm_1.bz2,20,6,8,12,17472,4.289
mm_2.bz2,20,6,8,12,17472,14.313
fp_1.bz2,20,6,10,4,6720,1.863
fp_2.bz2,20,6,10,4,6720,21.642
int_1.bz2,20,6,10,4,6720,27.506
int_2.bz2,20,6,10,4,6720,1.178
mm_1.bz2,20,6,10,4,6720,23.432
mm_2.bz2,20,6,10,4,6720,28.840
fp_1.bz2,20,6,10,6,9408,1.863
fp_2.bz2,20,6,10,6,9408,21.642
int_1.bz2,20,6,10,6,9408,26.892
int_2.bz2,20,6,10,6,9408,1.132
mm_1.bz2,20,6,10,6,9408,23.081
mm_2.bz2,20,6,10,6,9408,24.203
fp_1.bz2,20,6,10,8,12096,1.616
fp_2.bz2,20,6,10,8,12096,5.280
int_1.bz2,20,6,10,8,12096,18.798
int_2.bz2,20,6,10,8,12096,0.835
mm_1.bz2,20,6,10,8,12096,11.251
mm_2.bz2,20,6,10,8,12096,20.052
fp_1.bz2,20,6,10,10,14784,1.146
fp_2.bz2,20,6,10,10,14784,1.963
int_1.bz2,20,6,10,10,14784,14.293
int_2.bz2,20,6,10,10,14784,0.782
mm_1.bz2,20,6,10,10,14784,6.624
mm_2.bz2,20,6,10,10,14784,17.545
fp_1.bz2,20,6,10,12,17472,1.147
fp_2.bz2,20,6,10,12,17472,1.475
int_1.bz2,20,6,10,12,17472,13.749
int_2.bz2,20,6,10,12,17472,0.782
mm_1.bz2,20,6,10,12,17472,5.721
mm_2.bz2,20,6,10,12,17472,17.518
fp_1.bz2,20,6,12,4,6720,1.863
fp_2.bz2,20,6,12,4,6720,21.642
int_1.bz2,20,6,12,4,6720,27.506
int_2.bz2,20,6,12,4,6720,1.178
mm_1.bz2,20,6,12,4,6720,23.432
mm_2.bz2,20,6,12,4,6720,31.460
fp_1.bz2,20,6,12,6,9408,1.863
fp_2.bz2,20,6,12,6,9408,21.642
int_1.bz2,20,6,12,6,9408,27.282
int_2.bz2,20,6,12,6,9408,1.165
mm_1.bz2,20,6,12,6,9408,23.081
mm_2.bz2,20,6,12,6,9408,30.264
fp_1.bz2,20,6,12,8,12096,1.782
fp_2.bz2,20,6,12,8,12096,21.642
int_1.bz2,20,6,12,8,12096,26.750
int_2.bz2,20,6,12,8,12096,1.141
mm_1.bz2,20,6,12,8,12096,22.211
mm_2.bz2,20,6,12,8,12096,27.650
fp_1.bz2,20,6,12,10,14784,1.730
fp_2.bz2,20,6,12,10,14784,5.751
int_1.bz2,20,6,12,10,14784,20.023
int_2.bz2,20,6,12,10,14784,0.963
mm_1.bz2,20,6,12,10,14784,12.596
mm_2.bz2,20,6,12,10,14784,24.030
fp_1.bz2,20,6,12,12,17472,1.591
fp_2.bz2,20,6,12,12,17472,2.970
int_1.bz2,20,6,12,12,17472,16.882
int_2.bz2,20,6,12,12,17472,0.947
mm_1.bz2,20,6,12,12,17472,9.386
mm_2.bz2,20,6,12,12,17472,22.874
fp_1.bz2,20,6,14,4,6720,1.863
fp_2.bz2,20,6,14,4,6720,21.642
int_1.bz2,20,6,14,4,6720,27.506
int_2.bz2,20,6,14,4,6720,1.178
mm_1.bz2,20,6,14,4,6720,23.432
mm_2.bz2,20,6,14,4,6720,31.637
fp_1.bz2,20,6,14,6,9408,1.863
fp_2.bz2,20,6,14,6,9408,21.642
int_1.bz2,20,6,14,6,9408,27.282
int_2.bz2,20,6,14,6,9408,1.165
mm_1.bz2,20,6,14,6,9408,23.081
mm_2.bz2,20,6,14,6,9408,30.908
fp_1.bz2,20,6,14,8,12096,1.782
fp_2.bz2,20,6,14,8,12096,21.642
int_1.bz2,20,6,14,8,12096,26.833
int_2.bz2,20,6,14,8,12096,1.151
mm_1.bz2,20,6,14,8,12096,22.211
mm_2.bz2,20,6,14,8,12096,30.521
fp_1.bz2,20,6,14,10,14784,1.782
fp_2.bz2,20,6,14,10,14784,21.365
int_1.bz2,20,6,14,10,14784,26.588
int_2.bz2,20,6,14,10,14784,1.149
mm_1.bz2,20,6,14,10,14784,20.840
mm_2.bz2,20,6,14,10,14784,29.704
fp_1.bz2,20,6,14,12,17472,1.782
fp_2.bz2,20,6,14,12,17472,7.023
int_1.bz2,20,6,14,12,17472,22.954
int_2.bz2,20,6,14,12,17472,1.115
mm_1.bz2,20,6,14,12,17472,16.236
mm_2.bz2,20,6,14,12,17472,28.370
fp_1.bz2,20,6,16,4,6720,1.863
fp_2.bz2,20,6,16,4,6720,21.642
int_1.bz2,20,6,16,4,6720,27.506
int_2.bz2,20,6,16,4,6720,1.178
mm_1.bz2,20,6,16,4,6720,23.432
mm_2.bz2,20,6,16,4,6720,31.637
fp_1.bz2,20,6,16,6,9408,1.863
fp_2.bz2,20,6,16,6,9408,21.642
int_1.bz2,20,6,16,6,9408,27.282
int_2.bz2,20,6,16,6,9408,1.165
mm_1.bz2,20,6,16,6,9408,23.081
mm_2.bz2,20,6,16,6,9408,30.908
fp_1.bz2,20,6,16,8,12096,1.782
fp_2.bz2,20,6,16,8,12096,21.642
int_1.bz2,20,6,16,8,12096,26.833
int_2.bz2,20,6,16,8,12096,1.151
mm_1.bz2,20,6,16,8,12096,22.211
mm_2.bz2,20,6,16,8,12096,30.521
fp_1.bz2,20,6,16,10,14784,1.782
fp_2.bz2,20,6,16,10,14784,21.365
int_1.bz2,20,6,16,10,14784,26.588
int_2.bz2,20,6,16,10,14784,1.149
mm_1.bz2,20,6,16,10,14784,20.840
mm_2.bz2,20,6,16,10,14784,30.858
fp_1.bz2,20,6,16,12,17472,1.782
fp_2.bz2,20,6,16,12,17472,21.272
int_1.bz2,20,6,16,12,17472,26.241
int_2.bz2,20,6,16,12,17472,1.149
mm_1.bz2,20,6,16,12,17472,20.584
mm_2.bz2,20,6,16,12,17472,30.939
fp_1.bz2,20,8,4,4,26880,0.945
fp_2.bz2,20,8,4,4,26880,1.916
int_1.bz2,20,8,4,4,26880,11.881
int_2.bz2,20,8,4,4,26880,0.345
mm_1.bz2,20,8,4,4,26880,4.408
mm_2.bz2,20,8,4,4,26880,7.751
fp_1.bz2,20,8,4,6,37632,0.825
fp_2.bz2,20,8,4,6,37632,0.969
int_1.bz2,20,8,4,6,37632,9.044
int_2.bz2,20,8,4,6,37632,0.328
mm_1.bz2,20,8,4,6,37632,3.250
mm_2.bz2,20,8,4,6,37632,7.364
fp_1.bz2,20,8,4,8,48384,0.825
fp_2.bz2,20,8,4,8,48384,0.969
int_1.bz2,20,8,4,8,48384,8.887
int_2.bz2,20,8,4,8,48384,0.328
mm_1.bz2,20,8,4,8,48384,3.157
mm_2.bz2,20,8,4,8,48384,7.365
fp_1.bz2,20,8,4,10,59136,0.825
fp_2.bz2,20,8,4,10,59136,0.969
int_1.bz2,20,8,4,10,59136,8.887
int_2.bz2,20,8,4,10,59136,0.328
mm_1.bz2,20,8,4,10,59136,3.157
mm_2.bz2,20,8,4,10,59136,7.365
fp_1.bz2,20,8,6,4,26880,1.353
fp_2.bz2,20,8,6,4,26880,5.766
int_1.bz2,20,8,6,4,26880,14.608
int_2.bz2,20,8,6,4,26880,0.532
mm_1.bz2,20,8,6,4,26880,6.584
mm_2.bz2,20,8,6,4,26880,10.791
fp_1.bz2,20,8,6,6,37632,0.833
fp_2.bz2,20,8,6,6,37632,1.373
int_1.bz2,20,8,6,6,37632,10.291
int_2.bz2,20,8,6,6,37632,0.363
mm_1.bz2,20,8,6,6,37632,4.044
mm_2.bz2,20,8,6,6,37632,8.425
fp_1.bz2,20,8,6,8,48384,0.833
fp_2.bz2,20,8,6,8,48384,0.993
int_1.bz2,20,8,6,8,48384,8.586
int_2.bz2,20,8,6,8,48384,0.361
mm_1.bz2,20,8,6,8,48384,3.035
mm_2.bz2,20,8,6,8,48384,8.248
fp_1.bz2,20,8,6,10,59136,0.833
fp_2.bz2,20,8,6,10,59136,0.993
int_1.bz2,20,8,6,10,59136,8.538
int_2.bz2,20,8,6,10,59136,0.361
mm_1.bz2,20,8,6,10,59136,3.035
mm_2.bz2,20,8,6,10,59136,8.248
fp_1.bz2,20,8,8,4,26880,1.422
fp_2.bz2,20,8,8,4,26880,20.163
int_1.bz2,20,8,8,4,26880,19.780
int_2.bz2,20,8,8,4,26880,0.771
mm_1.bz2,20,8,8,4,26880,13.548
mm_2.bz2,20,8,8,4,26880,17.301
fp_1.bz2,20,8,8,6,37632,1.263
fp_2.bz2,20,8,8,6,37632,4.520
int_1.bz2,20,8,8,6,37632,14.540
int_2.bz2,20,8,8,6,37632,0.555
mm_1.bz2,20,8,8,6,37632,6.585
mm_2.bz2,20,8,8,6,37632,12.443
fp_1.bz2,20,8,8,8,48384,0.856
fp_2.bz2,20,8,8,8,48384,1.463
int_1.bz2,20,8,8,8,48384,10.344
int_2.bz2,20,8,8,8,48384,0.466
mm_1.bz2,20,8,8,8,48384,4.226
mm_2.bz2,20,8,8,8,48384,10.418
fp_1.bz2,20,8,8,10,59136,0.856
fp_2.bz2,20,8,8,10,59136,1.097
int_1.bz2,20,8,8,10,59136,9.259
int_2.bz2,20,8,8,10,59136,0.467
mm_1.bz2,20,8,8,10,59136,3.395
mm_2.bz2,20,8,8,10,59136,10.340
fp_1.bz2,20,8,10,4,26880,1.422
fp_2.bz2,20,8,10,4,26880,20.163
int_1.bz2,20,8,10,4,26880,19.836
int_2.bz2,20,8,10,4,26880,0.805
mm_1.bz2,20,8,10,4,26880,13.552
mm_2.bz2,20,8,10,4,26880,22.384
fp_1.bz2,20,8,10,6,37632,1.339
